guia,periodo,titulo,tex,pdf,docx,estado_pdf,mensaje,doc
1-10-TIC,Primero,"Ciberseguridad avanzada I: amenazas en la red — ransomware, suplantación de identidad, ingeniería social",/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/1-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/1-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/1-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/1-10-TIC.doc
2-10-TIC,Primero,Ciberseguridad avanzada II: análisis de casos éticos sobre el uso de datos masivos (Big Data),/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/2-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/2-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/2-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/2-10-TIC.doc
3-10-TIC,Primero,Ataraxia digital: mantener el equilibrio mental ante incidentes de seguridad — resiliencia estoica,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/3-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/3-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/3-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/3-10-TIC.doc
4-10-TIC,Primero,Productividad avanzada I: herramientas de gestión de proyectos — Trello/Asana/Notion,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/4-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/4-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/4-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/4-10-TIC.doc
5-10-TIC,Primero,"Productividad avanzada II: manejo corporativo del correo — respuestas automáticas, listas de distribución",/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/5-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/5-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/5-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/5-10-TIC.doc
6-10-TIC,Primero,Documentos colaborativos avanzados: gestión de flujos de trabajo en la nube para proyectos complejos,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/6-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/6-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/6-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/6-10-TIC.doc
7-10-TIC,Primero,Firmas digitales y certificados electrónicos — autenticación y no repudio en entornos profesionales,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/7-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/7-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/7-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/7-10-TIC.doc
8-10-TIC,Primero,Taller de gestión: planificación de un proyecto tecnológico con herramientas de productividad,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/8-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/8-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/8-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/8-10-TIC.doc
9-10-TIC,Primero,Proyecto MILC: diagnóstico de ciberseguridad institucional con propuestas de mejora ética,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/9-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/9-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/9-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/9-10-TIC.doc
10-10-TIC,Primero,Evaluación de competencias en ética digital y gestión corporativa,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/tex/10-10-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/pdf/10-10-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/docx/10-10-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/decimo/doc/10-10-TIC.doc
